EIS Calibration File
Date: 2026-04-09
Time: 00:33:38
Reference_100m_File: C:\Users\berna\OneDrive\Documents\PlatformIO\Projects\EIS_board_V1\Goertzel Data\100mohmsReference.txt
Short_Circuit_File: C:\Users\berna\OneDrive\Documents\PlatformIO\Projects\EIS_board_V1\Goertzel Data\ShortCircuitReference.txt
Equation: Hcalib(f)=(Zraw_100m(f)-Zsc(f))/Z100m_ref(f)

Frequency_Hz,Hcalib_Magnitude,Hcalib_Phase_deg
0.05,0.796739880404,0.255671859600
0.15,0.795204502340,-0.154336991421
0.25,0.793196190148,0.227804255570
0.45,0.792664816887,-0.098404033804
1.05,0.792162220283,-0.119101542487
2.05,0.791091461157,-0.126269845407
4.05,0.791136669513,-0.067703934937
10.05,0.792201041789,-0.110191885332
20.05,0.793441369825,-0.384889206756
40.05,0.795134263844,-0.816068934105
80.05,0.794586266438,-1.727033412520
160.05,0.795251114552,-3.669570355974
320.05,0.795646747460,-7.386729200581
640.05,0.794570677392,-14.883965595004
1000.05,0.808175928063,-22.799019558491
