Cycles: 5
Sample Count Command: 200000

Frequency_Hz,Avg_Resistance_Magnitude_Ohm,Avg_Resistance_Phase_deg
0.05,0.270826127551,-11.7919008433
0.15,0.243881714902,-7.62220015122
0.25,0.235854102784,-6.19461584646
0.45,0.228897876425,-4.93176330101
1.05,0.221724956503,-3.79098269255
2.05,0.217354817143,-3.45617129812
4.05,0.212954100845,-3.64692020386
10.05,0.204687400495,-4.52198573744
20.05,0.195508937192,-4.87261963298
40.05,0.186311542613,-4.09966727331
80.05,0.180153194293,-2.43662937504
160.05,0.177017592078,-0.440039703561
320.05,0.175699607597,2.01982966894
640.05,0.175780944958,5.7941628219
1000.05,0.177111004295,9.63236524463
